arabic,english
دينست,dienst
اكينسي,akinci
دوكاينا,ducaina
افومو,avomo
قنبر,qanbar
هاينسبرغ,heinsberg
فلاريتي,flarety
خشخاش,khashkhash
كاور,kaur
بيريس,peiris
بيتيرجوود,bittergoud
كامارون,camaron
دولغوروكي,dolgorukiy
يوهانسن,johansen
ماينو,maeno
والتر,gwallter
الشعري,chaari
ماغا,magga
فيمي,euphemius
يوسكوفياك,juskowiak
ترنس,terrence
روملر,rummler
بولاس,polas
فيرين,ferrin
باستيدس,bastidas
شاتز,schatz
ايكليس,eackles
تورويتيش,toroitich
جوراندير,jurandir
جرينسميث,greensmith
بويترس,boitress
دينفون,doniphon
ريردن,rierden
بيدر,beder
بيركنر,pirkner
درمو,darmo
شولر,schoeler
دينز,deenz
دويماري,doimary
سوزان,susan
فيروز,firuz
ريميني,rimini
كروسيت,crosette
فيلد,field
روثكروفت,rothcroft
دارا,darra
ميلان,millen
نورساتوف,nursatov
ايرونز,irons
ماجري,magri
دشرناث,dashrath
هونيغر,honegger
فاريلا,farella
كوهايل,kuhayl
بهرامي,bahrami
ديسياتنيكوف,desyatnikov
الماجري,mejri
مارسيلوس,marcellus
كارباتشير,karbacher
هيثم,haitam
لوتشيانو,luciano
ستانيفوكوفيتش,stanivukovic
جيورا,ziura
سوراهاتا,sourahata
رايلي,reilly
اوخيدا,ojeda
ديديو,dedieu
نجيب,nageeb
العنصر,laenser
الباران,albarrain
زوراباشفيلي,zurabashvili
رانجي,range
ماستا,masta
الغوانمه,ghawanmeh
سيايايتشي,seiichi
صحناوي,sehnaoui
هيوننج,huineng
ايملين,emlyn
راكوتوريسووا,rakotoariosa
زكريا,zakria
ولبرت,wolpert
فيلدر,fielder
مينديبورو,mendiburu
تساتسو,tsatsu
جيفايرت,gevaert
ايرلان,erlan
سكيلبا,skillpa
بارولين,parolin
اتشبا,achba
ارنو,arnø
كيف,cave
وينتز,wentz
ايغوروف,yegorov
ديانلا,dianela
فراز,varaz
دراغوليا,dragolea
ليفيتسكي,levitsky
سمارتش,smartch
جانكلو,janklow
مبوتو,mputu
ناندوس,nondus
حمايدي,hamaidi
فلاستا,vlasta
فونيكي,voneky
باتزايكين,patzaichin
لينيلا,lynella
ويتشل,wistel
حبه,hubba
ليو,leo
سيبر,cibber
بقرادوني,pakradouni
زابيان,zabian
يامازاوا,yamazawa
ليك,lake
هالبروك,halbrook
كريستيديس,christidis
تيلمانس,tilemans
سترانادكو,stranadko
اسمادي,asmady
كامانا,kamana
طيبي,tayebi
اريزي,arize
سلاتين,slatin
فينسون,venson
غيين,guillen
تريلاون,trelawn
اشيك,achike
البا,elba
سمولنيكوف,smolnikov
يحياوي,yahaoui
غايتان,gaetan
كونرادو,conrado
شيشكوفا,shishkova
كريسوكي,kirisuke
نيكولاييفيتش,nikolaevitch
كاركاتيرا,carcaterra
دجانغو,django
ناتاليا,nataliia
شاكليفورد,shackleford
نكازينغاني,nkazengani
دوسنبيري,duesenberry
زاليوتين,zalyotin
نصر,nisr
خربين,khribin
جوتوالد,gottwald
كيميس,kimmis
راجو,rajo
تشيان,qian
ليشمان,leishman
بوعيده,bouaida
دونارت,dunnart
مازو,maazou
دريزنر,dresner
كيلادار,kiledar
جلامنه,jalamneh
سعفان,saafan
بياتريكس,beatrix
روبينولت,robineault
ساكورافا,sakorafa
بيث,beth
نيديلكو,nedilko
كرينز,krenz
نكونو,n'kono
يوشي,yoshie
ترنكي,trunkey
توتين,tutin
مانا,mana
جينغا,jenga
اندرا,andra
جاسندي,gassendi
قاسم,qasem
ناهيمانا,nahimana
جيباراس,jibaras
جريد,jerryd
رودريغيز,rodriquez
هانزفورد,hansford
تسكوس,tsekos
زرع,zar
ندوكو,nduku
غريبس,gribbs
توفوركي,tofurkey
غودموندا,gudmunda
زيد,zaid
سيلفير,sylvere
ديويت,dewitt
كريولوفا,krylova
فندور,vandor
ديموفسكي,dimovski
رايناديو,rinadu
بننو,bennu
كاسبرسكي,kaspersky
هالفر,halvar
هيري,hery
سنووايت,sonait
سويتبانتس,sweatpants
وارويك,warwick
الوند,alund
فاسارهيلي,vasarhelyi
جيانبينغ,jianping
مانزوني,manzoni
هارلين,harlen
بسار,bessar
كابانيس,cabanis
ليني,liene
كولراوش,kohlrausch
ورموس,wormus
بوسكو,bosco
فيكتر,vikter
بيكلي,beckley
ايث,eythe
غرين,greene
شميتي,schmidtty
فيدين,fayden
الديب,eldib
فارلا,varla
غوريلا,gorilla
شيما,sheema
شليتر,shleeter
ناتاشا,natascha
عفو,afu
هوغين,hugin
ستارغيرل,stargirl
فولمير,fullmer
يعقوب,yacub
فرانكا,franca
ساندازا,sandaza
ماتشو,macho
بيرجن,bergin
كارليس,karlis
بنشقرون,benchekroun
برايت,bright
فارون,farron
بيرنز,berns
جيفرين,jeffren
انجيلوس,angelos
باتوتا,batota
جيل,gill
لينش,lenche
ماسيتي,massetti
ميتشيلينا,mitxelena
روزالا,rozala
ديويرت,diewert
بودارت,bodart
سبارك,sparck
فرنر,verner
كانوجي,kanogi
بوبسون,bobson
بوليكاربوس,polycarp
راسنييه,rassinier
راجيندرا,rajendra
ليريك,lerrick
هيلر,hellar
كرايسلر,kreisler
كوساس,kousas
مكوين,mcewen
مكنيكليس,mcnickles
ويليجر,williger
واهيو,wahyu
هاغبرغ,hagberg
فيليب,philip
الينكا,alenka
ديميترا,demetra
ايفان,iwan
ستيكا,styka
بالون,ballon
مايان,mayann
التهانوي,thanwi
حواضلي,hawadle
شاشا,shasha
هانغسبروغ,hungspreug
لاسلو,lasloo
بونو,bono
لاغون,lhagon
بليفنس,blevins
مككلور,mcclure
بندكت,benedict
اليسيا,alicja
سكولينغ,schooling
سنو,sinno
بافولوفا,pavlova
بوشماوي,bouchamaoui
دونغجو,dongju
اسبندار,espandar
كلاريس,clarisse
بيزولدوفا,pezoldova
هيميكو,himiko
بيضي,bidhi
فريكل,frakel
الميرون,almiron
كوتوت,kottut
نغايوهني,ngaiohni
برونيسلاف,bronislaw
ساندرينو,sandrino
كليفورد,clifford
تيلفورد,telford
لاوريندو,laurendeau
كاتيندي,katende
ماكونتراري,mccontrary
فالين,wallin
جروسيتيست,grosseteste
بيتيفورد,pettiford
ويتنبرغ,wittenberg
اوجليسبي,oglesby
باير,baeyer
كوتشيك,kutchek
لاروس,larousse
امقران,amokrane
ارتو,artaud
تانجين,tangyin
لاتابي,latapi
نيوفيلد,neufeld
هالديرام,haldiram
باندريد,pendered
تاسكي,taskey
كريتشمر,cretzschmar
سيافوش,siavosh
فوشار,fouchard
هيديتوشي,hidetoshi
فالكا,felka
ميلفوين,melvoin
فلوريز,florez
فيرات,verrat
دوناكا,donaka
كارينزي,karenzi
ساندوفال,sandoval
كيجيموتا,kijimuta
بولت,bult
ميدي,medea
البريث,albreath
اوريغي,origi
اورلاندو,orlando
بوكس,box
خده,khadda
لايدي,lyde
كابيتانوفيتش,kapetanovic
شربورن,sherburne
ليناركوس,linarcos
يحيي,yahia
تيناني,tanani
بيتشيروف,pecherov
كاري,cary
رالوف,raluf
غالانت,galant
شو,sho
هاملبيرف,hamilperv
ويتايوسكي,witajewski
فليجلافتش,fliglavitch
فهيدان,vidhan
امادا,amada
مونديجو,mondego
اليرتس,allaerts
داساناياكي,dasanayake
سانديفول,sandavol
جوجيرو,jujiro
سكارلاتي,scarlatti
كلاا,kla
جميلو,jamilu
بادا,bada
ستروميلي,stromile
مينيز,menez
روسنير,rosener
بورغ,børge
برون,brunn
الفانا,ilvana
فغاني,feghani
جانو,janou
شتانيسلاوس,stanislaus
دينكا,dinca
لونغ,lung
بيش,pech
ليسيتزكي,lissitzky
انتونسكي,antonsky
ناغاياما,nagayama
الحمادي,hamady
كنتريل,cantrill
غاغين,gagain
مهابهارات,mahabharat
ثورا,thura
تركمنباشي,turkmenbashi
ميلار,millar
النمر,tigers
بونيفاس,boniface
حبيش,hobaish
يوانيديس,ioannidis
ساندرمان,sanderman
سينجيندو,sengendo
كاسبار,kaspar
سوافي,suavi
فرندو,frendo
نيبر,nipper
دوقوز,doquz
غيون,gyun
ساموري,samory
ريبو,rheebu
تشاو,zhao
البلتاجي,beltagy
ماتونس,matunas
شادوبوت,shadowbot
ريدنر,redner
كاواتشي,kawachi
كابيزاس,cabezas
ماوراكات,maurakat
ارفانيتيس,arvanitis
ميريت,myrt
زينر,zener
فوكوين,fukuen
شيسامبا,chisamba
فيشوس,vicious
ادينييرا,adinyira
فوجيساكي,fujisaki
ديلوريا,deloria
كميل,kameel
شريفيس,sherifis
زادران,zadran
جيليازكوف,jeliazkov
تولا,tola
ريخاس,rijas
كريشا,krisha
جمينسكي,gminski
فالنتينا,valetyna
هلماير,hellmayr
ساريتاما,saritama
زياده,ziadah
ترينر,triner
دوبلكس,dupleix
هاسكيل,haskel
بيكريل,becquerel
كروسين,crossin
غيرنسي,guernsey
تيغيلس,teugels
جيريان,jerian
ميبراتو,mebrahtu
مارسيلا,maricela
يانكو,janko
بيوكر,buecker
اينال,inal
كييلي,kiely
مازيرا,mazzera
سنكور,sankor
حصار,hassar
باجي,baji
افورقي,afewerki
فالين,wallen
هوغينارد,huguenard
بوغدير,boughedir
فيرن,fyren
غرانكين,grankin
دويلفر,duelfer
نانداكومار,nandakumar
ديتمار,dietmar
لوفساندانزانجين,luvsandanzangyn
زريهان,zrihen
كونستانتين,constantin
هيدلي,hedley
ستانيك,stanic
خليفاوي,khleifawi
برنارد,skipper
فارغوس,ferghis
ديمورني,demornay
طهبوب,tahboub
ويلكوكس,wilcox
زلانسكي,zalanski
تمساح,temsah
بروكمان,brockmann
ناثانز,nathans
تسايلينغر,zeilinger
شانسراج,shansraj
سيلفي,silvie
غودا,gouda
اماسطان,amastan
ساندر,sanader
ايمن,aimen
اتمن,atmen
تي,t.c.
خسرو,khosro
اندرونيكوس,andronikos
غورديلو,gordillo
شي,shea
برناكي,bernacchi
انجو,injo
زيا,ziya
يوتشي,yoichi
كور,cœur
لاسويل,lasswell
شاروفا,sharova
بروستين,brustien
لانجلي,langlet
بهانا,bhana
دنبوه,danbooh
توجي,tooji
مارون,maron
سكال,skal
دنوودي,dunwoody
واينس,wynes
كوس,kus
سيمونيتيس,simonides
غروميكو,gromyko
سامورا,samora
ديننجر,denninger
جورس,gorres
سوليستيانينغسيه,sulistyaningsih
بيلتو,pelto
شنجنان,shengnan
فيتكوفا,vetkova
بيركامب,berkhamp
سكاتيرغوريس,scattergories
شيباتا,shibata
سوفانا,sovana
بورناس,porinas
ماريك,marijke
مومني,momone
مينغ,ming
ساغيسو,sagisu
موانغسكوك,muangsook
دونوا,dunois
نزار,nazar
هارالدسون,haraldsson
صامد,samid
غيغما,guigma
زكي,zaki
مارتن,martijn
ماغي,magee
فوستي,fosty
سينسوي,sensui
عمراوي,amraoui
بلاورايت,plowright
ميروشنيشنكو,miroshnychenko
اسماعيلوف,ismayilov
بوكير,beaucaire
داريس,derris
حلبجاي,halabjaee
تشيلافيرت,chila
ميلوجكو,milojko
شاريبا,sharipa
غليغوروفسكي,gligorovski
ديسمارياس,desmarais
اراكي,araque
نوبس,nobbs
دالرييغو,delriego
رامياه,ramiyah
ويرامانتري,weeramantry
هاوتن,hawtin
هبيره,hubayra
ترك,turk
كاهيندي,kahende
سترنك,strunk
مكبيل,mcbeal
هيكوكس,hickcox
فيلو,filo
تيواثيا,tiwathia
ساريد,sarid
ماكفي,mcvey
برمك,barmak
واوكسانا,oksana
جيرمين,jermain
ماركينسون,markinson
تاكيومي,takumi
لفينسكي,levinsky
التماير,altmaier
فيشليبس,fishlips
باو,bow
كرشافن,kershavin
اسومباسانو,assumpcao
كلاسنيتش,klasnic
دينيس,denys
سورين,søren
الشامخ,shamekh
سيدو,sido
بادلفورد,paddleford
كاركيتي,carcetti
وينستروم,wenstrom
مريكوس,merkus
داهوا,dahua
ويسينتاينر,wisintainer
دافيدوف,davidov
لينغل,lingle
ويدن,weeden
مكفيللي,mcfeely
بينونيا,penunia
لوديفين,ludivine
كارانتينوس,karantenos
مقبول,maqbol
وولكروفل,wollcrofl
موراس,moras
كوروش,kourosh
مونتز,muntz
جعجع,geagea
كرافار,crafar
افتانديل,avtandil
لينتجر,lintner
رومانوفا,romanova
بينيغاس,benegas
ليديكا,lidka
نيميك,nemec
بيكيسي,bekesi
ريلمانيا,rilmania
سالوموني,salomone
فروت,froot
فولاند,voland
مانكوفسكي,mankofsky
روفو,rufo
جيريلز,jerrells
زييف,zief
ليبودا,libuda
نارويوكي,naruyuki
ايراسا,erassa
هوفتون,hufton
ناتسوو,natsuo
نزهه,nozha
ليزي,lizzi
